Creature,Attack,Defence,Speed,HP
206,6.816957,7.96133,4.85809,3.895357
207,5.678949,7.96133,4.889046,5.146996
208,5.678949,7.96133,4.883875,6.490084
209,5.678949,7.96133,4.85809,3.895357
210,6.51114,7.96133,4.863261,6.490084
211,6.85885,7.96133,4.85809,6.501336
212,5.678949,7.96133,4.883875,3.895357
213,5.678949,8.834323,4.85809,3.895357
214,5.312581,7.96133,4.85809,3.895357
215,5.678949,7.96133,4.85809,5.238444
216,6.820029,7.15347,4.883875,5.146996
217,5.312581,7.96133,4.883875,3.895357
218,5.678949,7.96133,4.85809,3.895357
219,5.678949,7.96133,4.85809,6.490084
220,5.678949,7.96133,4.883875,5.238444
221,6.514212,6.280477,4.883875,5.238444
222,6.816957,5.681784,4.85809,6.501336
223,7.22829,7.96133,4.647975,3.895357
224,5.312581,8.834323,4.883875,3.895357
225,5.312581,7.478242,4.85809,3.895357
226,5.678949,7.96133,4.85809,5.238444
227,6.816957,7.96133,4.863261,6.490084
228,5.678949,8.834323,4.883875,5.238444
229,6.816957,8.834323,4.883875,5.146996
230,5.678949,7.96133,4.883875,3.895357
231,5.678949,8.677297,4.883875,3.895357
232,6.51114,7.96133,4.15621,6.490084
233,6.816957,8.834323,4.85809,3.895357
234,5.678949,7.96133,4.883875,5.158249
235,5.678949,8.849234,4.85809,5.238444
236,5.806911,7.463332,4.130425,5.146996
237,5.678949,7.96133,4.883875,5.238444
238,6.816957,8.336326,4.883875,6.501336
239,6.816957,7.96133,4.85809,6.501336
240,5.678949,6.996443,4.67376,3.895357
241,6.816957,7.96133,4.85809,3.884105
242,6.816957,6.996443,4.67376,5.146996
Creature,Attack,Defence,Speed,HP,Fitness,
